,File,Duration
584,812205003488028.wav,206.04
585,812205003494973.wav,33.42
586,812205003462268.wav,906.6
587,812205003479645.wav,49.14
588,812205003480878.wav,467.7
589,812205003469949.wav,80.58
590,812205003483896.wav,38.58
591,812205003463491.wav,34.32
592,812205003466835.wav,140.58
593,812205003490276.wav,48.48
594,812205003492810.wav,43.68
595,812205003474668.wav,37.98
596,812205003493479.wav,101.94
597,812205003480772.wav,59.64
598,812205003495598.wav,71.22
599,812205003489696.wav,72.72
600,812205003491150.wav,83.58
601,812205003477330.wav,36.18
602,812205003473682.wav,440.1
603,812205003492303.wav,51.96
604,812205003464910.wav,67.08
605,812205003491001.wav,64.26
606,812205003481737.wav,118.5
607,812205003471112.wav,34.44
608,812205003480232.wav,337.56
609,812205003495299.wav,136.62
610,812205003488710.wav,431.7
611,812205003471165.wav,158.22
612,812205003495896.wav,48.54
613,812205003475864.wav,52.2
614,812205003495605.wav,49.26
615,812205003469114.wav,96.78
616,812205003462924.wav,104.28
617,812205003469942.wav,177.36
618,812205003473462.wav,71.64
619,812205003482631.wav,75.0
620,812205003477116.wav,34.44
621,812205003478517.wav,114.24
622,812205003481134.wav,441.78
623,812205003487710.wav,93.72
624,812205003464831.wav,380.16
625,812205003467778.wav,35.88
626,812205003464612.wav,34.02
627,812205003480135.wav,397.32
628,812205003479069.wav,115.44
629,812205003477454.wav,63.42
630,812205003487420.wav,206.64
631,812205003462786.wav,708.3
632,812205003468175.wav,197.82
633,812205003479290.wav,59.28
634,812205003466369.wav,133.74
635,812205003487630.wav,30.66
636,812205003468715.wav,46.26
637,812205003479308.wav,179.4
638,812205003479275.wav,34.62
639,812205003467080.wav,282.6
640,812205003473545.wav,625.14
641,812205003468873.wav,285.18
642,812205003463431.wav,516.3
643,812205003471680.wav,94.92
644,812205003478459.wav,55.38
645,812205003471678.wav,118.14
646,812205003481541.wav,299.76
647,812205003482259.wav,51.42
648,812205003490489.wav,176.76
649,812205003478227.wav,30.78
650,812205003467074.wav,786.06
651,812205003463388.wav,127.62
652,812205003491937.wav,89.58
653,812205003471365.wav,43.8
654,812205003472386.wav,181.02
655,812205003465012.wav,327.06
656,812205003467550.wav,168.78
657,812205003467393.wav,52.56
658,812205003493727.wav,64.62
659,812205003463294.wav,60.54
660,812205003467327.wav,54.36
661,812205003478652.wav,60.12
662,812205003472550.wav,211.68
663,812205003467353.wav,30.36
664,812205003468068.wav,161.52
665,812205003498192.wav,156.96
666,812205003470502.wav,106.98
667,812205003481626.wav,247.32
668,812205003492667.wav,109.32
669,812205003468448.wav,67.98
670,812205003486208.wav,142.44
671,812205003493688.wav,68.04
672,812205003476653.wav,73.08
673,812205003465107.wav,561.48
674,812205003471529.wav,64.08
675,812205003484253.wav,69.96
676,812205003495766.wav,60.36
677,812205003467659.wav,47.64
678,812205003490710.wav,431.1
679,812205003462880.wav,30.72
680,812205003471606.wav,134.52
681,812205003497320.wav,141.12
682,812205003472466.wav,400.2
683,812205003487753.wav,70.44
684,812205003490126.wav,249.0
685,812205003469510.wav,52.92
686,812205003466885.wav,48.66
687,812205003468906.wav,36.78
688,812205003469205.wav,40.92
689,812205003486291.wav,82.68
690,812205003489257.wav,207.3
691,812205003490966.wav,49.14
692,812205003498248.wav,107.46
693,812205003482365.wav,30.72
694,812205003482797.wav,198.72
695,812205003483520.wav,233.4
696,812205003468696.wav,780.6
697,812205003466703.wav,44.34
698,812205003471392.wav,36.54
699,812205003473624.wav,220.56
700,812205003469065.wav,46.2
701,812205003493398.wav,31.32
702,812205003468936.wav,83.1
703,812205003466574.wav,101.16
704,812205003476989.wav,34.26
705,812205003464692.wav,347.28
706,812205003471278.wav,73.86
707,812205003492154.wav,286.74
708,812205003493186.wav,93.9
709,812205003493138.wav,301.32
710,812205003468140.wav,504.0
711,812205003475452.wav,59.58
712,812205003470517.wav,31.8
713,812205003487755.wav,239.82
714,812205003496137.wav,65.76
715,812205003495200.wav,38.76
716,812205003497458.wav,218.04
717,812205003485076.wav,83.04
718,812205003483833.wav,52.14
719,812205003483749.wav,161.46
720,812205003474453.wav,73.86
721,812205003497015.wav,51.54
722,812205003474890.wav,595.74
723,812205003491184.wav,37.08
724,812205003477743.wav,52.02
725,812205003472301.wav,34.32
726,812205003477983.wav,205.02
727,812205003468981.wav,79.5
728,812205003481613.wav,424.44
729,812205003474525.wav,167.52
730,812205003493929.wav,38.16
731,812205003481678.wav,73.32
732,812205003484859.wav,109.26
733,812205003466167.wav,85.26
734,812205003464780.wav,165.06
735,812205003492948.wav,83.76
736,812205003485974.wav,385.5
737,812205003474460.wav,60.0
738,812205003485314.wav,167.46
739,812205003492850.wav,220.2
740,812205003467884.wav,500.52
741,812205003481986.wav,246.06
742,812205003479166.wav,40.74
743,812205003480496.wav,154.02
744,812205003481650.wav,33.96
745,812205003475042.wav,46.92
746,812205003463277.wav,255.24
747,812205003492796.wav,72.78
748,812205003494289.wav,33.36
749,812205003482285.wav,45.9
750,812205003464512.wav,91.44
751,812205003481451.wav,456.6
752,812205003474720.wav,32.1
753,812205003465423.wav,71.28
754,812205003485558.wav,122.22
755,812205003462118.wav,444.36
756,812205003465957.wav,537.84
757,812205003483908.wav,49.86
758,812205003475997.wav,42.48
759,812205003475181.wav,60.72
760,812205003489074.wav,105.9
761,812205003465959.wav,312.96
762,812205003490196.wav,112.86
763,812205003469185.wav,31.44
764,812205003463062.wav,66.36
765,812205003486635.wav,391.56
766,812205003495982.wav,304.86
767,812205003479571.wav,37.26
768,812205003471515.wav,83.28
769,812205003496574.wav,60.54
770,812205003481464.wav,291.3
771,812205003494986.wav,266.76
772,812205003481046.wav,30.84
773,812205003468752.wav,634.56
774,812205003478523.wav,121.02
775,812205003495971.wav,178.56
776,812205003495147.wav,126.36
777,812205003489525.wav,96.78
778,812205003475709.wav,31.62
779,812205003470321.wav,204.12
780,812205003497681.wav,180.36
781,812205003497849.wav,32.28
782,812205003493656.wav,90.84
783,812205003497661.wav,263.7
784,812205003478109.wav,59.22
785,812205003496502.wav,41.52
786,812205003470342.wav,357.24
787,812205003494659.wav,87.96
788,812205003480239.wav,459.78
789,812205003485657.wav,208.56
790,812205003469455.wav,693.36
791,812205003488348.wav,51.54
792,812205003476944.wav,87.36
793,812205003484993.wav,477.36
794,812205003471631.wav,372.12
795,812205003466268.wav,577.62
796,812205003479751.wav,61.32
797,812205003485124.wav,154.92
798,812205003463753.wav,185.04
799,812205003490934.wav,460.08
800,812205003486041.wav,181.26
801,812205003478706.wav,52.92
802,812205003483243.wav,365.16
803,812205003485604.wav,204.78
804,812205003472395.wav,284.64
805,812205003462344.wav,68.1
806,812205003491182.wav,205.26
807,812205003469016.wav,67.2
808,812205003485120.wav,242.34
809,812205003472873.wav,135.9
810,812205003497135.wav,127.92
811,812205003474199.wav,61.02
812,812205003483149.wav,188.82
813,812205003481581.wav,57.96
814,812205003464833.wav,34.74
815,812205003462047.wav,364.62
816,812205003491767.wav,162.48
817,812205003492998.wav,39.96
818,812205003485989.wav,75.12
819,812205003472088.wav,99.66
820,812205003494321.wav,145.8
821,812205003476169.wav,36.72
822,812205003474406.wav,509.28
823,812205003478414.wav,107.46
824,812205003464009.wav,138.0
825,812205003477641.wav,869.46
826,812205003491803.wav,81.48
827,812205003479306.wav,65.52
828,812205003474951.wav,68.28
829,812205003472474.wav,37.68
830,812205003465459.wav,206.82
831,812205003478914.wav,83.46
832,812205003489291.wav,36.9
833,812205003473508.wav,474.66
834,812205003462086.wav,82.02
835,812205003494734.wav,44.04
836,812205003478453.wav,546.72
837,812205003475926.wav,132.48
838,812205003495367.wav,199.08
839,812205003474741.wav,346.92
840,812205003475078.wav,369.3
841,812205003497196.wav,89.7
842,812205003487668.wav,259.32
843,812205003485590.wav,40.32
844,812205003469209.wav,39.78
845,812205003466580.wav,45.72
846,812205003478697.wav,38.64
847,812205003479031.wav,47.22
848,812205003470102.wav,62.4
849,812205003462294.wav,117.12
850,812205003474283.wav,57.0
851,812205003497332.wav,284.04
852,812205003468441.wav,143.1
853,812205003467028.wav,436.5
854,812205003482015.wav,395.04
855,812205003491286.wav,148.44
856,812205003476421.wav,49.56
857,812205003471525.wav,225.78
858,812205003476183.wav,40.62
859,812205003477482.wav,296.82
860,812205003464708.wav,66.54
861,812205003495429.wav,236.64
862,812205003476561.wav,184.26
863,812205003464916.wav,85.8
864,812205003465451.wav,75.48
865,812205003494060.wav,195.42
866,812205003475342.wav,652.74
867,812205003490379.wav,60.12
868,812205003473292.wav,66.24
869,812205003475831.wav,161.34
870,812205003481176.wav,585.72
871,812205003472664.wav,96.78
872,812205003480930.wav,67.98
873,812205003496087.wav,401.7
874,812205003474820.wav,64.5
875,812205003482193.wav,65.64
876,812205003466195.wav,276.18
877,812205003466320.wav,115.44
878,812205003466699.wav,47.7
879,812205003464192.wav,61.26
880,812205003485404.wav,255.84
881,812205003476346.wav,105.9
882,812205003472888.wav,32.82
883,812205003497932.wav,35.58
884,812205003477766.wav,80.4
885,812205003484884.wav,165.66
886,812205003473259.wav,44.1
887,812205003489434.wav,53.28
888,812205003463039.wav,33.66
889,812205003482829.wav,256.8
890,812205003491097.wav,70.68
891,812205003486906.wav,339.12
892,812205003471276.wav,76.86
893,812205003480212.wav,133.74
894,812205003482441.wav,36.24
895,812205003477550.wav,40.8
896,812205003491820.wav,49.98
897,812205003491894.wav,143.34
898,812205003466900.wav,581.22
899,812205003487183.wav,63.06
900,812205003479825.wav,32.46
901,812205003464566.wav,141.36
902,812205003478329.wav,82.26
903,812205003496984.wav,61.62
904,812205003483562.wav,40.8
905,812205003477201.wav,103.74
906,812205003488165.wav,185.46
907,812205003491728.wav,384.42
908,812205003468397.wav,706.08
909,812205003482308.wav,158.94
910,812205003485309.wav,283.44
911,812205003473540.wav,141.3
912,812205003482597.wav,89.46
913,812205003469035.wav,31.62
914,812205003495419.wav,57.84
915,812205003496943.wav,110.52
916,812205003465981.wav,37.44
917,812205003497999.wav,35.58
918,812205003480386.wav,177.78
919,812205003486006.wav,104.28
920,812205003498124.wav,83.76
921,812205003474122.wav,81.78
922,812205003495181.wav,45.36
923,812205003485354.wav,513.42
924,812205003470175.wav,36.96
925,812205003463972.wav,330.12
926,812205003473370.wav,59.7
927,812205003481964.wav,196.02
928,812205003470166.wav,80.64
929,812205003488949.wav,31.56
